asset,part_id,registry_id,part_name,variant,category,group,grid,size_cells_WxHxD,dims_m_WxHxD,tier,art_set,complexity,mass_kg,hp,power_kw,recipe,lod0_tris,lod1_tris,lod2_tris,lod3_tris,build_stages,collision_max_hulls,texture_strategy,texel_density_px_m,mount_faces,airtight_faces,sockets,moving_parts,emissive,debris_set,blend_path,export_path,status,owner,notes
SM_DOR_DoubleDoor_LG,DOR-004,block.doors.double_door,Double Door,,DOR,Doors,LG,2×1×1,5.00x2.50x2.50,T1,IND,M,700,1400,-1,interior_plate:20; construction_component:36; motor:4; display:1,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_Interact_Back_01 SOCKET_Door_Center_01,"Door leaves ×2: slide ±Y 2.2 m, 1.1 s",Frame status strip,M,assets/parts/doors/SM_DOR_DoubleDoor_LG.blend,export/parts/doors/SM_DOR_DoubleDoor_LG.fbx,Not started,,2.4 × 2.2 m opening.
SM_DOR_Hatch_LG,DOR-005,block.doors.hatch,Hatch,,DOR,Doors,LG,1×1×1,2.50x2.50x2.50,T1,IND,M,500,900,-0.5,steel_plate:12; construction_component:10; motor:2,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Top_01 SOCKET_Interact_Bottom_01 SOCKET_Door_Center_01,"Hatch leaf: hinge 110°, 1.0 s",Ring status light,S,assets/parts/doors/SM_DOR_Hatch_LG.blend,export/parts/doors/SM_DOR_Hatch_LG.fbx,Not started,,Ladder rungs integrated on the underside (LG).
SM_DOR_Hatch_SG,DOR-005,block.doors.hatch,Hatch,,DOR,Doors,SG,3×1×3,1.50x0.50x1.50,T1,IND,M,120,200,-0.1,steel_plate:3; construction_component:2; motor:1,1500,750,300,90,3,6,Trim sheets + one 1K unique atlas,1024,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Top_01 SOCKET_Interact_Bottom_01 SOCKET_Door_Center_01,"Hatch leaf: hinge 110°, 1.0 s",Ring status light,S,assets/parts/doors/SM_DOR_Hatch_SG.blend,export/parts/doors/SM_DOR_Hatch_SG.fbx,Not started,,Ladder rungs integrated on the underside (LG).
SM_DOR_AirlockModule_LG,DOR-006,block.doors.airlock_module,Airlock Module,,DOR,Airlocks,LG,1×1×2,2.50x2.50x5.00,T2,IND,L,1800,3000,-40,steel_plate:40; interior_plate:20; construction_component:30; motor:6; computer:4; display:2,12000,6000,2400,720,3,12,Trim sheets + one 2K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_Interact_Back_01 SOCKET_Air_Top_01 SOCKET_Door_Front_01 SOCKET_Door_Back_01,"Outer door: slide +Z 2.2 m, 0.8 s | Inner door: slide +Z 2.2 m, 0.8 s",Cycle light (red/amber/green) | Pressure gauge screen,M,assets/parts/doors/SM_DOR_AirlockModule_LG.blend,export/parts/doors/SM_DOR_AirlockModule_LG.fbx,Not started,,"Interior chamber 1.6 m wide. The chamber must feel tight: handholds, stencils, a scuffed floor."
SM_DOR_VehicleAirlock_LG,DOR-007,block.doors.vehicle_airlock,Vehicle Airlock,,DOR,Airlocks,LG,3×2×3,7.50x5.00x7.50,T2,IND,XL,12000,9000,-150,steel_plate:180; construction_component:120; motor:20; computer:10; display:4,40000,20000,8000,2400,4,24,4K unique texture set + trim sheets,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Left_01 SOCKET_Air_Top_01 SOCKET_Air_Top_02 SOCKET_Light_Top_01 SOCKET_Light_Top_02 SOCKET_Light_Top_03 SOCKET_Light_Top_04,"Outer door: segmented, rises 5 m, 3 s | Inner door: segmented, rises 5 m, 3 s",Cycle lights | Floor guide strips,M,assets/parts/doors/SM_DOR_VehicleAirlock_LG.blend,export/parts/doors/SM_DOR_VehicleAirlock_LG.fbx,Not started,,"Interior 7 × 5 × 7 m. Tire-scuffed floor decals, tie-down points."
SM_DOR_DecontaminationAirlock_LG,DOR-008,block.doors.decontamination_airlock,Decontamination Airlock,,DOR,Airlocks,LG,1×1×2,2.50x2.50x5.00,T2,IND,L,2000,3000,-60,steel_plate:40; interior_plate:20; motor:6; computer:4; filter_mesh:10; medical_component:4,12000,6000,2400,720,3,12,Trim sheets + one 2K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_Interact_Back_01 SOCKET_Air_Top_01 SOCKET_Water_Bottom_01,Outer and inner doors (as Airlock Module) | Spray arms ×4 rotate 60°,UV lamp strips (violet) | Cycle light,M,assets/parts/doors/SM_DOR_DecontaminationAirlock_LG.blend,export/parts/doors/SM_DOR_DecontaminationAirlock_LG.fbx,Not started,,Medical white-and-hazard-yellow variant of the Airlock Module; shares the door meshes.
SM_DOR_BlastDoorPanel_LG,DOR-009,block.doors.blast_door_panel,Blast Door Panel,,DOR,Heavy Doors,LG,1×1×1,2.50x2.50x2.50,T2,IND,M,4000,9000,-0.2,steel_plate:120; metal_grid:40; motor:4; construction_component:20,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01,"Door slab: slides down into the floor pocket 2.5 m (or up), 4 s | Locking bolts ×4: retract 0.2 m",Hazard strobe while moving,S,assets/parts/doors/SM_DOR_BlastDoorPanel_LG.blend,export/parts/doors/SM_DOR_BlastDoorPanel_LG.fbx,Not started,,Edge-matching on all four sides; the frame is a separate 'frame' mesh auto-placed on exposed edges.
SM_DOR_HangarDoorSegment_LG,DOR-010,block.doors.hangar_door_segment,Hangar Door Segment,,DOR,Heavy Doors,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,900,2200,-0.5,steel_plate:30; construction_component:10; motor:1,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,"Segment: hinges and folds upward into the stack above, 0.6 s per segment",Edge warning lights,S,assets/parts/doors/SM_DOR_HangarDoorSegment_LG.blend,export/parts/doors/SM_DOR_HangarDoorSegment_LG.fbx,Not started,,Horizontal ribbing; segment edges interlock visually.
SM_DOR_HangarDoorSegment_SG,DOR-010,block.doors.hangar_door_segment,Hangar Door Segment,,DOR,Heavy Doors,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,40,120,-0.05,steel_plate:2; motor:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,"Segment: hinges and folds upward into the stack above, 0.6 s per segment",Edge warning lights,XS,assets/parts/doors/SM_DOR_HangarDoorSegment_SG.blend,export/parts/doors/SM_DOR_HangarDoorSegment_SG.fbx,Not started,,Horizontal ribbing; segment edges interlock visually.
SM_DOR_CargoRamp_LG,DOR-011,block.doors.cargo_ramp,Cargo Ramp,,DOR,Heavy Doors,LG,3×1×2,7.50x2.50x5.00,T2,IND,L,3000,4500,-5,steel_plate:60; motor:6; construction_component:20,12000,6000,2400,720,3,12,Trim sheets + one 2K unique atlas,512,back left right,front back left right top bottom,SOCKET_Interact_Left_01,"Ramp: hinges at the back edge, lowers 100°, 3 s | Hydraulic rams ×2",Edge lights,M,assets/parts/doors/SM_DOR_CargoRamp_LG.blend,export/parts/doors/SM_DOR_CargoRamp_LG.fbx,Not started,,Tread plate on the walking face; underside ribbed.
SM_DOR_CargoRamp_SG,DOR-011,block.doors.cargo_ramp,Cargo Ramp,,DOR,Heavy Doors,SG,5×1×6,2.50x0.50x3.00,T2,IND,L,350,600,-1,steel_plate:10; motor:2,5000,2500,1000,300,3,12,Trim sheets + one 2K unique atlas,1024,back left right,front back left right top bottom,SOCKET_Interact_Left_01,"Ramp: hinges at the back edge, lowers 100°, 3 s | Hydraulic rams ×2",Edge lights,M,assets/parts/doors/SM_DOR_CargoRamp_SG.blend,export/parts/doors/SM_DOR_CargoRamp_SG.fbx,Not started,,Tread plate on the walking face; underside ribbed.
SM_DOR_Ladder_LG,DOR-012,block.doors.ladder,Ladder,,DOR,Access,LG,1×1×1,2.50x2.50x2.50,T0,IND,S,80,200,0,small_tube:6; construction_component:2,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back,,SOCKET_Interact_Front_01,,,S,assets/parts/doors/SM_DOR_Ladder_LG.blend,export/parts/doors/SM_DOR_Ladder_LG.fbx,Not started,,Rungs every 0.3 m; stand-off brackets 0.2 m from the wall.
SM_DOR_Ladder_SG,DOR-012,block.doors.ladder,Ladder,,DOR,Access,SG,1×1×1,0.50x0.50x0.50,T0,IND,S,5.0,30,0,small_tube:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back,,SOCKET_Interact_Front_01,,,XS,assets/parts/doors/SM_DOR_Ladder_SG.blend,export/parts/doors/SM_DOR_Ladder_SG.fbx,Not started,,Rungs every 0.3 m; stand-off brackets 0.2 m from the wall.
SM_DOR_ElevatorShaft_LG,DOR-013,block.doors.elevator_shaft,Elevator Shaft,,DOR,Access,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,700,1500,0,steel_plate:12; girder:8; construction_component:6,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,top bottom back left right,,,,,S,assets/parts/doors/SM_DOR_ElevatorShaft_LG.blend,export/parts/doors/SM_DOR_ElevatorShaft_LG.fbx,Not started,,"Guide rails on the back face, cable detail, floor-number decal slot on the front."
SM_DOR_ElevatorCar_LG,DOR-014,block.doors.elevator_car,Elevator Car,,DOR,Access,LG,1×1×1,2.50x2.50x2.50,T2,IND,M,900,1200,-8,steel_plate:10; interior_plate:10; motor:4; computer:1; display:1,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,,,SOCKET_Interact_Center_01 SOCKET_Light_Top_01,Car: travels along the shaft at 3 m/s | Car doors: slide ±Y 0.6 m,Floor display | Ceiling light,S,assets/parts/doors/SM_DOR_ElevatorCar_LG.blend,export/parts/doors/SM_DOR_ElevatorCar_LG.fbx,Not started,,Interior-only car; the exterior is hidden by the shaft.
SM_DOR_ChainLinkGate_Plain_LG,DOR-015,block.doors.chain_link_gate,Chain-Link Gate,Plain,DOR,Survivor Doors,LG,2×1×1,5.00x2.50x2.50,T0,SCR,M,180,500,0,scrap_metal:10; small_tube:6,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,bottom left right,,SOCKET_Interact_Front_01 SOCKET_Interact_Back_01,"Gate: slides ±Y 2.4 m on wheels, 2 s",,M,assets/parts/doors/SM_DOR_ChainLinkGate_Plain_LG.blend,export/parts/doors/SM_DOR_ChainLinkGate_Plain_LG.fbx,Not started,,Chain-link mesh uses the masked fence material; razor-wire top optional (variant).
SM_DOR_ChainLinkGate_RazorWire_LG,DOR-015,block.doors.chain_link_gate,Chain-Link Gate,Razor Wire,DOR,Survivor Doors,LG,2×1×1,5.00x2.50x2.50,T0,SCR,M,180,500,0,scrap_metal:14; small_tube:6,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,bottom left right,,SOCKET_Interact_Front_01 SOCKET_Interact_Back_01,"Gate: slides ±Y 2.4 m on wheels, 2 s",,M,assets/parts/doors/SM_DOR_ChainLinkGate_RazorWire_LG.blend,export/parts/doors/SM_DOR_ChainLinkGate_RazorWire_LG.fbx,Not started,,Chain-link mesh uses the masked fence material; razor-wire top optional (variant).
SM_PWR_DieselGenerator_LG,PWR-001,block.power.diesel_generator,Diesel Generator,,PWR,Generation,LG,1×1×1,2.50x2.50x2.50,T0,SCR,M,900,1200,60,scrap_metal:30; motor:4; wiring_bundle:6,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,bottom back,,SOCKET_Interact_Front_01 SOCKET_Fuel_Left_01 SOCKET_VfxSmoke_Top_01 SOCKET_Audio_Center_01,"Cooling fan: spins 1,200 rpm when running | Engine block: idle vibration (vertex shader)",Running lamp (amber),S,assets/parts/power/SM_PWR_DieselGenerator_LG.blend,export/parts/power/SM_PWR_DieselGenerator_LG.fbx,Not started,,A salvaged construction-site generator on a welded skid. Fuel canister strapped to the side.
SM_PWR_SolarPanel_LG,PWR-002,block.power.solar_panel,Solar Panel,,PWR,Generation,LG,4×1×2,10.00x2.50x5.00,T1,IND,S,400,600,120,steel_plate:4; construction_component:14; girder:12; computer:4; solar_cell:32; glass_panel:4,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,bottom,,,,None (cells use a clear-coat anisotropic material),L,assets/parts/power/SM_PWR_SolarPanel_LG.blend,export/parts/power/SM_PWR_SolarPanel_LG.fbx,Not started,,"Panel surface 0.1 m thick on a 0.3 m frame, occupying the bottom of the volume. Cell grid via trim; backside wiring detail."
SM_PWR_SolarPanel_SG,PWR-002,block.power.solar_panel,Solar Panel,,PWR,Generation,SG,4×1×8,2.00x0.50x4.00,T1,IND,S,60,80,12,steel_plate:1; construction_component:2; girder:2; computer:1; solar_cell:6,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,bottom,,,,None (cells use a clear-coat anisotropic material),M,assets/parts/power/SM_PWR_SolarPanel_SG.blend,export/parts/power/SM_PWR_SolarPanel_SG.fbx,Not started,,"Panel surface 0.1 m thick on a 0.3 m frame, occupying the bottom of the volume. Cell grid via trim; backside wiring detail."
SM_PWR_TrackingSolarArray_LG,PWR-003,block.power.tracking_solar_array,Tracking Solar Array,,PWR,Generation,LG,3×2×3,7.50x5.00x7.50,T2,IND,L,1600,1400,180,steel_plate:12; construction_component:30; girder:20; motor:4; computer:6; solar_cell:64,12000,6000,2400,720,3,12,Trim sheets + one 2K unique atlas,512,bottom,,SOCKET_Interact_Front_01,Mast head: yaw 360° | Panel wings ×2: pitch 0–80°,,M,assets/parts/power/SM_PWR_TrackingSolarArray_LG.blend,export/parts/power/SM_PWR_TrackingSolarArray_LG.fbx,Not started,,"Wings fold flat for storms. Pivot empties: PART_Yaw at mast top, PART_PitchL/R at wing roots."
SM_PWR_WindTurbine_LG,PWR-004,block.power.wind_turbine,Wind Turbine,,PWR,Generation,LG,3×4×1,7.50x10.00x2.50,T1,IND,L,2600,2000,400,steel_plate:20; construction_component:40; girder:24; motor:8; computer:2,12000,6000,2400,720,3,12,Trim sheets + one 2K unique atlas,512,bottom,,SOCKET_Interact_Bottom_01 SOCKET_Light_Top_01,"Rotor: 3 blades, 7 m diameter, 12–30 rpm | Nacelle: yaws into the wind","Aviation beacon (red, blinking)",L,assets/parts/power/SM_PWR_WindTurbine_LG.blend,export/parts/power/SM_PWR_WindTurbine_LG.fbx,Not started,,Hub height 7.5 m. Blades must stay inside the 7.5 m wide volume at every rotation angle.
SM_PWR_MicroHydroTurbine_LG,PWR-005,block.power.micro_hydro_turbine,Micro-Hydro Turbine,,PWR,Generation,LG,1×1×2,2.50x2.50x5.00,T2,IND,M,3200,2600,2000,steel_plate:30; construction_component:20; motor:12; large_tube:4,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,,SOCKET_Water_Front_01 SOCKET_Water_Back_01 SOCKET_Interact_Top_01,Runner (impeller): spins with water speed,,M,assets/parts/power/SM_PWR_MicroHydroTurbine_LG.blend,export/parts/power/SM_PWR_MicroHydroTurbine_LG.fbx,Not started,,"Intake grille on the front, draft tube on the back. Algae/wet-grime vertex mask on the lower half."
SM_PWR_Battery_LG,PWR-006,block.power.battery,Battery,,PWR,Storage,LG,1×1×1,2.50x2.50x2.50,T1,IND,M,3800,2500,0,steel_plate:80; construction_component:30; power_cell:80; computer:25,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01,,Charge bars ×5 (front) | Mode lamp: charge/discharge/auto,S,assets/parts/power/SM_PWR_Battery_LG.blend,export/parts/power/SM_PWR_Battery_LG.fbx,Not started,,Cell stacks visible behind a grille on the front. Emissive bars driven by a 0–1 'Charge' parameter.
SM_PWR_Battery_SG,PWR-006,block.power.battery,Battery,,PWR,Storage,SG,1×1×1,0.50x0.50x0.50,T1,IND,M,90,150,0,steel_plate:2; construction_component:2; power_cell:2; computer:2,1500,750,300,90,3,6,Trim sheets + one 1K unique atlas,1024,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01,,Charge bars ×5 (front) | Mode lamp: charge/discharge/auto,XS,assets/parts/power/SM_PWR_Battery_SG.blend,export/parts/power/SM_PWR_Battery_SG.fbx,Not started,,Cell stacks visible behind a grille on the front. Emissive bars driven by a 0–1 'Charge' parameter.
SM_PWR_HydrogenEngine_LG,PWR-007,block.power.hydrogen_engine,Hydrogen Engine,,PWR,Generation,LG,1×1×2,2.50x2.50x5.00,T2,IND,M,4800,3500,5000,steel_plate:80; construction_component:30; large_tube:12; motor:12; computer:4; power_cell:1,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,,SOCKET_Fuel_Back_01 SOCKET_VfxExhaust_Top_01 SOCKET_Interact_Front_01,Turbine fan: spins with load,Combustion window glow,M,assets/parts/power/SM_PWR_HydrogenEngine_LG.blend,export/parts/power/SM_PWR_HydrogenEngine_LG.fbx,Not started,,Visible combustion chamber through a small heat-glass window.
SM_PWR_HydrogenEngine_SG,PWR-007,block.power.hydrogen_engine,Hydrogen Engine,,PWR,Generation,SG,1×1×2,0.50x0.50x1.00,T2,IND,M,450,400,500,steel_plate:12; construction_component:4; large_tube:2; motor:2; computer:1; power_cell:1,1500,750,300,90,3,6,Trim sheets + one 1K unique atlas,1024,front back left right top bottom,,SOCKET_Fuel_Back_01 SOCKET_VfxExhaust_Top_01 SOCKET_Interact_Front_01,Turbine fan: spins with load,Combustion window glow,S,assets/parts/power/SM_PWR_HydrogenEngine_SG.blend,export/parts/power/SM_PWR_HydrogenEngine_SG.fbx,Not started,,Visible combustion chamber through a small heat-glass window.
SM_PWR_FissionReactor_LG,PWR-008,block.power.fission_reactor,Fission Reactor,,PWR,Generation,LG,1×1×1,2.50x2.50x2.50,T2,IND,M,7000,4000,15000,steel_plate:80; construction_component:40; metal_grid:10; large_tube:8; reactor_component:100; motor:6; computer:25,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_ConveyorLarge_Back_01,,Core viewport (Cherenkov blue) | Status lights,S,assets/parts/power/SM_PWR_FissionReactor_LG.blend,export/parts/power/SM_PWR_FissionReactor_LG.fbx,Not started,,Radiation trefoil stencils. A blue viewport onto the core is the recognizable feature.
SM_PWR_FissionReactor_SG,PWR-008,block.power.fission_reactor,Fission Reactor,,PWR,Generation,SG,1×1×1,0.50x0.50x0.50,T2,IND,M,400,500,500,steel_plate:12; construction_component:6; metal_grid:2; large_tube:1; reactor_component:15; motor:1; computer:4,1500,750,300,90,3,6,Trim sheets + one 1K unique atlas,1024,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_ConveyorLarge_Back_01,,Core viewport (Cherenkov blue) | Status lights,XS,assets/parts/power/SM_PWR_FissionReactor_SG.blend,export/parts/power/SM_PWR_FissionReactor_SG.fbx,Not started,,Radiation trefoil stencils. A blue viewport onto the core is the recognizable feature.
SM_PWR_LargeFissionReactor_LG,PWR-009,block.power.large_fission_reactor,Large Fission Reactor,,PWR,Generation,LG,3×3×3,7.50x7.50x7.50,T3,IND,XL,70000,7000,60000,steel_plate:1000; construction_component:70; metal_grid:40; large_tube:40; reactor_component:2000; motor:20; computer:75,40000,20000,8000,2400,4,24,4K unique texture set + trim sheets,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_ConveyorLarge_Back_01 SOCKET_Work_Front_01,Control rods ×6: rise/fall with output,Core viewport | Rod position lights,M,assets/parts/power/SM_PWR_LargeFissionReactor_LG.blend,export/parts/power/SM_PWR_LargeFissionReactor_LG.fbx,Not started,,Cylindrical containment inside a square frame; walkway ring around the top.
SM_PWR_He3FusionReactor_LG,PWR-010,block.power.he_3_fusion_reactor,He-3 Fusion Reactor,,PWR,Generation,LG,3×3×3,7.50x7.50x7.50,T3,IND,XL,28000,5000,80000,steel_plate:400; construction_component:120; large_tube:40; superconductor:120; reactor_component:400; computer:60; motor:24,40000,20000,8000,2400,4,24,4K unique texture set + trim sheets,512,front back left right top bottom,front back left right top bottom,SOCKET_Interact_Front_01 SOCKET_ConveyorLarge_Back_01 SOCKET_Work_Front_01,Magnetic rings ×2: counter-rotate | Plasma: animated emissive torus,Plasma torus (magenta-white) | Ring status lights,M,assets/parts/power/SM_PWR_He3FusionReactor_LG.blend,export/parts/power/SM_PWR_He3FusionReactor_LG.fbx,Not started,,Tokamak torus visible through four viewports. The rings' motion must be readable from 30 m.
SM_PWR_RadiatorPanel_LG,PWR-011,block.power.radiator_panel,Radiator Panel,,PWR,Thermal,LG,1×1×1,2.50x2.50x2.50,T3,IND,M,1200,800,0,steel_plate:10; large_tube:10; construction_component:6; motor:2,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,back,,,"Fins: fold out from the housing to 3× area, 2 s",Fin heat glow (dull red → orange with heat),S,assets/parts/power/SM_PWR_RadiatorPanel_LG.blend,export/parts/power/SM_PWR_RadiatorPanel_LG.fbx,Not started,,"Folded state fits the cell; deployed fins extend 5 m (LG) beyond it (excluded from the placement bounds, included in collision when deployed)."
SM_PWR_RadiatorPanel_SG,PWR-011,block.power.radiator_panel,Radiator Panel,,PWR,Thermal,SG,2×1×4,1.00x0.50x2.00,T3,IND,M,120,100,0,steel_plate:2; large_tube:2; construction_component:1; motor:1,1500,750,300,90,3,6,Trim sheets + one 1K unique atlas,1024,back,,,"Fins: fold out from the housing to 3× area, 2 s",Fin heat glow (dull red → orange with heat),S,assets/parts/power/SM_PWR_RadiatorPanel_SG.blend,export/parts/power/SM_PWR_RadiatorPanel_SG.fbx,Not started,,"Folded state fits the cell; deployed fins extend 5 m (LG) beyond it (excluded from the placement bounds, included in collision when deployed)."
SM_PWR_HeatSink_LG,PWR-012,block.power.heat_sink,Heat Sink,,PWR,Thermal,LG,1×1×1,2.50x2.50x2.50,T3,IND,M,5000,3000,0,steel_plate:30; superconductor:10; large_tube:6,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,,,Heat gauge strip,S,assets/parts/power/SM_PWR_HeatSink_LG.blend,export/parts/power/SM_PWR_HeatSink_LG.fbx,Not started,,Dense ribbed block with a heat-gauge strip; ribs glow faintly when near capacity.
SM_PWR_PowerDistributionPanel_LG,PWR-013,block.power.power_distribution_panel,Power Distribution Panel,,PWR,Distribution,LG,1×1×1,2.50x2.50x2.50,T1,IND,M,200,400,0,interior_plate:6; construction_component:6; computer:2; display:1,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,back,,SOCKET_Interact_Front_01 SOCKET_Lcd_Front_01,Breaker switches ×12: toggle,Breaker LEDs ×12 | Load meter screen,S,assets/parts/power/SM_PWR_PowerDistributionPanel_LG.blend,export/parts/power/SM_PWR_PowerDistributionPanel_LG.fbx,Not started,,"Wall-mounted box, 0.3 m deep. Labels printed per priority group; the door opens 110°."
SM_LIF_RainCollectorAndPurifier_LG,LIF-001,block.lifesupport.rain_collector_and_purifier,Rain Collector & Purifier,,LIF,Water,LG,1×1×1,2.50x2.50x2.50,T0,SCR,M,150,300,0,scrap_metal:10; fabric:6; duct_tape:2,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,bottom,,SOCKET_Interact_Front_01 SOCKET_Water_Bottom_01,,,S,assets/parts/lifesupport/SM_LIF_RainCollectorAndPurifier_LG.blend,export/parts/lifesupport/SM_LIF_RainCollectorAndPurifier_LG.fbx,Not started,,Tarp funnel over a blue barrel with a charcoal filter stack; water level visible through a cut-open bottle.
SM_LIF_WaterPurifier_LG,LIF-002,block.lifesupport.water_purifier,Water Purifier,,LIF,Water,LG,1×1×1,2.50x2.50x2.50,T1,IND,M,500,800,-20,steel_plate:10; motor:2; filter_mesh:4; large_tube:2,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,,SOCKET_Water_Back_01 SOCKET_Water_Front_01 SOCKET_Interact_Front_01,Pump impeller,Purity indicator (green/red),S,assets/parts/lifesupport/SM_LIF_WaterPurifier_LG.blend,export/parts/lifesupport/SM_LIF_WaterPurifier_LG.fbx,Not started,,Clear inspection tube shows water moving.
SM_LIF_WaterTank_LG,LIF-003,block.lifesupport.water_tank,Water Tank,,LIF,Water,LG,1×2×1,2.50x5.00x2.50,T1,IND,S,1200,1500,0,steel_plate:20; large_tube:4; construction_component:4,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,SOCKET_Water_Bottom_01 SOCKET_Water_Top_01,,Level gauge strip,M,assets/parts/lifesupport/SM_LIF_WaterTank_LG.blend,export/parts/lifesupport/SM_LIF_WaterTank_LG.fbx,Not started,,Vertical cylinder in a square cage frame; the level gauge is a 0–1 parameter.
SM_LIF_WaterTank_SG,LIF-003,block.lifesupport.water_tank,Water Tank,,LIF,Water,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,60,120,0,steel_plate:3; large_tube:1; construction_component:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,SOCKET_Water_Bottom_01 SOCKET_Water_Top_01,,Level gauge strip,XS,assets/parts/lifesupport/SM_LIF_WaterTank_SG.blend,export/parts/lifesupport/SM_LIF_WaterTank_SG.fbx,Not started,,Vertical cylinder in a square cage frame; the level gauge is a 0–1 parameter.
SM_LIF_WaterRecycler_LG,LIF-004,block.lifesupport.water_recycler,Water Recycler,,LIF,Water,LG,1×1×2,2.50x2.50x5.00,T2,IND,M,1600,1500,-80,steel_plate:20; motor:6; filter_mesh:10; large_tube:6; computer:2,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_Water_Back_01 SOCKET_Water_Front_01 SOCKET_Interact_Left_01,Centrifuge drum spins,Cycle lights,M,assets/parts/lifesupport/SM_LIF_WaterRecycler_LG.blend,export/parts/lifesupport/SM_LIF_WaterRecycler_LG.fbx,Not started,,Centrifuge drum visible behind a round window.
SM_LIF_OxygenGenerator_LG,LIF-005,block.lifesupport.oxygen_generator,Oxygen Generator,,LIF,Air,LG,1×1×1,2.50x2.50x2.50,T1,IND,M,640,1000,-300,steel_plate:120; construction_component:5; large_tube:2; motor:4; computer:5,4000,2000,800,240,3,6,Trim sheets + one 1K unique atlas,512,front back left right top bottom,front back left right top bottom,SOCKET_ConveyorLarge_Back_01 SOCKET_Air_Top_01 SOCKET_Interact_Front_01,,Output lamp (blue),S,assets/parts/lifesupport/SM_LIF_OxygenGenerator_LG.blend,export/parts/lifesupport/SM_LIF_OxygenGenerator_LG.fbx,Not started,,Ice hopper visible through a frosted window.
SM_LIF_OxygenGenerator_SG,LIF-005,block.lifesupport.oxygen_generator,Oxygen Generator,,LIF,Air,SG,1×1×2,0.50x0.50x1.00,T1,IND,M,120,150,-30,steel_plate:18; construction_component:1; large_tube:1; motor:1; computer:1,1500,750,300,90,3,6,Trim sheets + one 1K unique atlas,1024,front back left right top bottom,front back left right top bottom,SOCKET_ConveyorLarge_Back_01 SOCKET_Air_Top_01 SOCKET_Interact_Front_01,,Output lamp (blue),S,assets/parts/lifesupport/SM_LIF_OxygenGenerator_SG.blend,export/parts/lifesupport/SM_LIF_OxygenGenerator_SG.fbx,Not started,,Ice hopper visible through a frosted window.
