asset,count,character_id,character,group,type,contents,tier,skeleton,size,lod0_tris,lod1_tris,lod2_tris,lod3_tris,textures,facial_set,facial_capture,blend_path,status,owner,notes
SK_CHR_HalvardCrane_Outfit_MissionControl2068,1,CST-009,Director Halvard Crane,CST,Outfit,Mission Control 2068,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.86 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_HalvardCrane_Outfit_MissionControl2068.blend,Greybox built,,Cold open
SK_CHR_HalvardCrane_Hair_SweptBack,1,CST-009,Director Halvard Crane,CST,Hair,Swept back (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.86 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_HalvardCrane_Hair_SweptBack.blend,Greybox built,,
SK_CHR_MotherSable,1,CST-010,Mother Sable,CST,Base,Base body + head (default outfit and hair for budget checks),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.63 m tall,110000,55000,22000,6600,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MotherSable.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_MotherSable_Outfit_ChoirRobes,1,CST-010,Mother Sable,CST,Outfit,Choir Robes,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.63 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MotherSable_Outfit_ChoirRobes.blend,Greybox built,,Act III–IV
SK_CHR_MotherSable_Outfit_CandleHelmet,1,CST-010,Mother Sable,CST,Outfit,Candle-Lantern Helmet,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.63 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MotherSable_Outfit_CandleHelmet.blend,Greybox built,,EVA scenes
SK_CHR_MotherSable_Hair_Braids,1,CST-010,Mother Sable,CST,Hair,Long braids with moss (cards),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.63 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MotherSable_Hair_Braids.blend,Greybox built,,
SK_CHR_SanaIqbal,1,CST-011,Lt. Sana Iqbal,CST,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_SanaIqbal.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_SanaIqbal_Outfit_OfficerUniform,1,CST-011,Lt. Sana Iqbal,CST,Outfit,Directorate Officer Uniform,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_SanaIqbal_Outfit_OfficerUniform.blend,Greybox built,,Act III
SK_CHR_SanaIqbal_Outfit_Defector,1,CST-011,Lt. Sana Iqbal,CST,Outfit,Defector Field Kit,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_SanaIqbal_Outfit_Defector.blend,Greybox built,,Act III–IV
SK_CHR_SanaIqbal_Hair_Hijab,1,CST-011,Lt. Sana Iqbal,CST,Hair,Uniform-issue hijab (cloth mesh) (cloth),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_SanaIqbal_Hair_Hijab.blend,Greybox built,,
SK_CHR_DanaMarsh,1,CST-012,Dana Marsh,CST,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.72 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_DanaMarsh.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_DanaMarsh_Outfit_Security,1,CST-012,Dana Marsh,CST,Outfit,Kestrel Security Uniform,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.72 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_DanaMarsh_Outfit_Security.blend,Greybox built,,M0.01–M0.02
SK_CHR_DanaMarsh_Hair_Ponytail,1,CST-012,Dana Marsh,CST,Hair,Ponytail (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.72 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_DanaMarsh_Hair_Ponytail.blend,Greybox built,,
SK_CHR_DanaMarsh_Hollow,1,CST-012,Dana Marsh,CST,Variant,"Her Hollow form (M0.02): Stage-4 infection, Bloom veins, head tilted, glassy eyes; uses the Hollow shape set and Bloom attachments",Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.72 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_DanaMarsh_Hollow.blend,Greybox built,,
SK_CHR_RosaAlvarez,1,CST-013,Ms. Rosa Alvarez,CST,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.65 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_RosaAlvarez.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_RosaAlvarez_Outfit_Teacher,1,CST-013,Ms. Rosa Alvarez,CST,Outfit,Teacher,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.65 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_RosaAlvarez_Outfit_Teacher.blend,Greybox built,,M1.02
SK_CHR_RosaAlvarez_Hair_CurlsClip,1,CST-013,Ms. Rosa Alvarez,CST,Hair,Greying curls in a clip (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.65 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_RosaAlvarez_Hair_CurlsClip.blend,Greybox built,,
SK_CHR_RosaAlvarez_Hollow,1,CST-013,Ms. Rosa Alvarez,CST,Variant,Her Hollow form at the whiteboard (M1.02); non-aggressive idle until the player gets close,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.65 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/story-cast/SK_CHR_RosaAlvarez_Hollow.blend,Greybox built,,
SK_NPC_DannyRuiz,1,NOT-001,Danny Ruiz,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.75 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_DannyRuiz.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_DannyRuiz_Outfit_Signature,1,NOT-001,Danny Ruiz,NOT,Outfit,Diner Whites,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.75 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_DannyRuiz_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_DannyRuiz_Outfit_ColonyWear,1,NOT-001,Danny Ruiz,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.75 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_DannyRuiz_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_DannyRuiz_Hair_Signature,1,NOT-001,Danny Ruiz,NOT,Hair,"Slicked-back black hair, greying at the temples (cards)",Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.75 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_DannyRuiz_Hair_Signature.blend,Greybox built,,
SK_NPC_PriyaNair,1,NOT-002,Priya Nair,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.62 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_PriyaNair.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_PriyaNair_Outfit_Signature,1,NOT-002,Priya Nair,NOT,Outfit,Tower Shift,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.62 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_PriyaNair_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_PriyaNair_Outfit_ColonyWear,1,NOT-002,Priya Nair,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.62 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_PriyaNair_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_PriyaNair_Hair_Signature,1,NOT-002,Priya Nair,NOT,Hair,Long black hair in a practical braid (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.62 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_PriyaNair_Hair_Signature.blend,Greybox built,,
SK_NPC_WaltHennessey,1,NOT-003,Walt Hennessey,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), elder (stooped posture in animation)",1.76 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_WaltHennessey.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_WaltHennessey_Outfit_Signature,1,NOT-003,Walt Hennessey,NOT,Outfit,Old Flight Jacket,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), elder (stooped posture in animation)",1.76 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_WaltHennessey_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_WaltHennessey_Outfit_ColonyWear,1,NOT-003,Walt Hennessey,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), elder (stooped posture in animation)",1.76 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_WaltHennessey_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_WaltHennessey_Hair_Signature,1,NOT-003,Walt Hennessey,NOT,Hair,"Thin white hair, neatly combed (cards)",Secondary,"EXO_Humanoid (UE5 mannequin-compatible), elder (stooped posture in animation)",1.76 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_WaltHennessey_Hair_Signature.blend,Greybox built,,
SK_NPC_AiyanaTwoRivers,1,NOT-004,Aiyana Two Rivers,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.69 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_AiyanaTwoRivers.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_AiyanaTwoRivers_Outfit_Signature,1,NOT-004,Aiyana Two Rivers,NOT,Outfit,Ranger Uniform,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.69 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_AiyanaTwoRivers_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_AiyanaTwoRivers_Outfit_ColonyWear,1,NOT-004,Aiyana Two Rivers,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.69 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_AiyanaTwoRivers_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_AiyanaTwoRivers_Hair_Signature,1,NOT-004,Aiyana Two Rivers,NOT,Hair,Long black hair in a low braid (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.69 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_AiyanaTwoRivers_Hair_Signature.blend,Greybox built,,
SK_NPC_MarcusWebb,1,NOT-005,Marcus Webb,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.85 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MarcusWebb.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_MarcusWebb_Outfit_Signature,1,NOT-005,Marcus Webb,NOT,Outfit,Teacher's Cardigan,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.85 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MarcusWebb_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_MarcusWebb_Outfit_ColonyWear,1,NOT-005,Marcus Webb,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.85 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MarcusWebb_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_MarcusWebb_Hair_Signature,1,NOT-005,Marcus Webb,NOT,Hair,Short cropped hair (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.85 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MarcusWebb_Hair_Signature.blend,Greybox built,,
SK_NPC_JoelWebb,1,NOT-006,Joel Webb,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.73 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_JoelWebb.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_JoelWebb_Outfit_Signature,1,NOT-006,Joel Webb,NOT,Outfit,Scrubs & Hoodie,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.73 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_JoelWebb_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_JoelWebb_Outfit_ColonyWear,1,NOT-006,Joel Webb,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.73 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_JoelWebb_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_JoelWebb_Hair_Signature,1,NOT-006,Joel Webb,NOT,Hair,"Curly red hair, short (cards)",Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.73 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_JoelWebb_Hair_Signature.blend,Greybox built,,
SK_NPC_KenjiMori,1,NOT-007,Dr. Kenji Mori,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_KenjiMori.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_KenjiMori_Outfit_Signature,1,NOT-007,Dr. Kenji Mori,NOT,Outfit,Vet Coat,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_KenjiMori_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_KenjiMori_Outfit_ColonyWear,1,NOT-007,Dr. Kenji Mori,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_KenjiMori_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_KenjiMori_Hair_Signature,1,NOT-007,Dr. Kenji Mori,NOT,Hair,"Salt-and-pepper, short and messy (cards)",Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.70 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_KenjiMori_Hair_Signature.blend,Greybox built,,
SK_NPC_RosaDelgado,1,NOT-008,Rosa Delgado,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.60 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_RosaDelgado.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_RosaDelgado_Outfit_Signature,1,NOT-008,Rosa Delgado,NOT,Outfit,Welder's Apron,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.60 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_RosaDelgado_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_RosaDelgado_Outfit_ColonyWear,1,NOT-008,Rosa Delgado,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.60 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_RosaDelgado_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_RosaDelgado_Hair_Signature,1,NOT-008,Rosa Delgado,NOT,Hair,Short grey pixie cut (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.60 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_RosaDelgado_Hair_Signature.blend,Greybox built,,
SK_NPC_TheoPark,1,NOT-009,Theo Park,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), teen (13–17)",1.72 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_TheoPark.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_TheoPark_Outfit_Signature,1,NOT-009,Theo Park,NOT,Outfit,Skater,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), teen (13–17)",1.72 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_TheoPark_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_TheoPark_Outfit_ColonyWear,1,NOT-009,Theo Park,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), teen (13–17)",1.72 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_TheoPark_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_TheoPark_Hair_Signature,1,NOT-009,Theo Park,NOT,Hair,Dyed-blue shaggy hair fading out (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), teen (13–17)",1.72 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_TheoPark_Hair_Signature.blend,Greybox built,,
SK_NPC_FatimaHaddad,1,NOT-010,Fatima Haddad,NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.66 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_FatimaHaddad.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_FatimaHaddad_Outfit_Signature,1,NOT-010,Fatima Haddad,NOT,Outfit,Radio Shack Chic,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.66 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_FatimaHaddad_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_FatimaHaddad_Outfit_ColonyWear,1,NOT-010,Fatima Haddad,NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.66 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_FatimaHaddad_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_FatimaHaddad_Hair_Signature,1,NOT-010,Fatima Haddad,NOT,Hair,Curly dark hair in a messy bun under the headphones (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.66 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_FatimaHaddad_Hair_Signature.blend,Greybox built,,
SK_NPC_MauriceJackson,1,NOT-011,"Maurice ""Big Mo"" Jackson",NOT,Base,Base body + head (default outfit and hair for budget checks),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.93 m tall,60000,30000,12000,3600,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MauriceJackson.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_NPC_MauriceJackson_Outfit_Signature,1,NOT-011,"Maurice ""Big Mo"" Jackson",NOT,Outfit,Long-Haul,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.93 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MauriceJackson_Outfit_Signature.blend,Greybox built,,From recruitment
SK_NPC_MauriceJackson_Outfit_ColonyWear,1,NOT-011,"Maurice ""Big Mo"" Jackson",NOT,Outfit,Colony Wear,Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.93 m tall,27000,13500,5400,1620,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MauriceJackson_Outfit_ColonyWear.blend,Greybox built,,Act II+
SK_NPC_MauriceJackson_Hair_Signature,1,NOT-011,"Maurice ""Big Mo"" Jackson",NOT,Hair,Shaved head under the cap; grey goatee (cards),Secondary,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.93 m tall,15000,7500,3000,900,Head 2K · Body 2K (shared skin detail) · Outfit 2K · Hair 2K · shared eyes,secondary,no,assets/characters/notable-survivors/SK_NPC_MauriceJackson_Hair_Signature.blend,Greybox built,,
